title,writer,date,abstract,published_institution_url,original_url,timestamp
Mapping reef fish and the seascape: using acoustics and spatial modeling to guide coastal management,"Bryan Costa, J Christopher Taylor, Laura Kracker, Tim Battista, Simon Pittman, Bryan Costa, J Christopher Taylor, Laura Kracker, Tim Battista, Simon Pittman",2014 Jan 15,"Reef fish distributions are patchy in time and space with some coral reef habitats supporting higher densities (i.e., aggregations) of fish than others. Identifying and quantifying fish aggregations (particularly during spawning events) are often top priorities for coastal managers. However, the rapid mapping of these aggregations using conventional survey methods (e.g., non-technical SCUBA diving and remotely operated cameras) are limited by depth, visibility and time. Acoustic sensors (i.e., splitbeam and multibeam echosounders) are not constrained by these same limitations, and were used to concurrently map and quantify the location, density and size of reef fish along with seafloor structure in two, separate locations in the U.S. Virgin Islands. Reef fish aggregations were documented along the shelf edge, an ecologically important ecotone in the region. Fish were grouped into three classes according to body size, and relationships with the benthic seascape were modeled in one area using Boosted Regression Trees. These models were validated in a second area to test their predictive performance in locations where fish have not been mapped. Models predicting the density of large fish (≥ 29 cm) performed well (i.e., AUC = 0.77). Water depth and standard deviation of depth were the most influential predictors at two spatial scales (100 and 300 m). Models of small (≤ 11 cm) and medium (12-28 cm) fish performed poorly (i.e., AUC = 0.49 to 0.68) due to the high prevalence (45-79%) of smaller fish in both locations, and the unequal prevalence of smaller fish in the training and validation areas. Integrating acoustic sensors with spatial modeling offers a new and reliable approach to rapidly identify fish aggregations and to predict the density large fish in un-surveyed locations. This integrative approach will help coastal managers to prioritize sites, and focus their limited resources on areas that may be of higher conservation value.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/24454886/,2022-11-19 11:48:45 PM
SCUBA Diving and Asthma: Clinical Recommendations and Safety,"Christopher A Coop, Karla E Adams, Charles N Webb, Christopher A Coop, Karla E Adams, Charles N Webb",2016 Feb,"The objective of this article is to review the available studies regarding asthma and SCUBA (self-contained underwater breathing apparatus) diving. A literature search was conducted in MEDLINE to identify peer-reviewed articles related to asthma and SCUBA diving using the following keywords: asthma, allergy, and SCUBA diving. SCUBA diving is a popular sport with more than 9 million divers in the USA. SCUBA diving can be a dangerous sport. Bronchospasm can develop in asthmatic patients and cause airway obstruction. Airway obstruction may be localized to the distal airway which prevents gas elimination. Uncontrolled expansion of the distal airway may result in pulmonary barotrauma. There is also the risk of a gas embolism. Asthmatic divers can also aspirate seawater which may induce bronchospasm. Pollen contamination of their oxygen tank may exacerbate atopic asthma in patients. Diving may be hazardous to the lung function of patients with asthma. Despite the risks of SCUBA diving, many asthmatic individuals can dive without serious diving events. Diving evaluations for asthmatic patients have focused on a thorough patient history, spirometry, allergy testing, and bronchial challenges. For patients that wish to dive, their asthma should be well controlled without current chest symptoms. Patients should have a normal spirometry. Some diving societies recommend that an asthmatic patient should successfully pass a bronchial provocation challenge. Recommendations also state that exercise-, emotion-, and cold-induced asthmatics should not dive. Asthmatic patients requiring rescue medication within 48 h should not dive.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/25666876/,2022-11-19 11:48:49 PM
Diving with pre-existing medical conditions,"John Lippmann, David McD Taylor, Christopher Stevenson, Jo Williams, Simon J Mitchell, John Lippmann, David McD Taylor, Christopher Stevenson, Jo Williams, Simon J Mitchell",2017 Sep,"Introduction:
        
      
      This is the second report based on a survey of Divers Alert Network Asia-Pacific (DAN AP) members who dive with cardiovascular and respiratory conditions and diabetes. It examines the medical management of the divers' conditions, any diving modifications used to mitigate the risk and outcomes.
    


          Methodology:
        
      
      An online cross-sectional survey was sent to 833 divers who had declared a targeted medical condition when applying for DAN AP membership between July 2009 and August 2013.
    


          Results:
        
      
      Two-hundred-and-sixty-eight respondents (32%) provided sufficient information on their conditions to be included in the analyses. These included ischaemic heart disease (31), arrhythmias (20), cardiac septal defects (31), other cardiac conditions (10), hypertension (127), diabetes (25), asthma (40) and pneumothorax (5). Forty-nine per cent had sought specialist diving medical advice about their condition and 23% reported modifying their diving practices to mitigate their risk. The cohort had completed 183,069 career dives, 57,822 of these since being diagnosed with their medical condition. There were 27 individuals who reported having decompression illness (25 of whom were subsequently diagnosed with a persistent foramen ovale), and two individuals who experienced an arrhythmia during diving.
    


          Conclusions:
        
      
      Some DAN AP members are diving with medical conditions which could potentially impact the safety of their diving. A minority modified their diving practices to mitigate the risk of their condition and approximately half sought specialist diving medical advice. The incidence of diving-related problems precipitated by known and managed pre-existing health conditions seems low but further studies of larger cohorts and incorporating fatality data would be necessary to confirm this. These results are limited by the 32% response rate and potential for bias towards selection of those most careful with their health.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/28868599/,2022-11-19 11:48:50 PM
Continuous real-time monitoring and recording of glycemia during scuba diving: pilot study,"Massimo Pieri, Danilo Cialoni, Alessandro Marroni, Massimo Pieri, Danilo Cialoni, Alessandro Marroni",2016 May-Jun,"Introduction:
        
      
      Insulin-dependent diabetes has been considered a scuba diving contraindication. This is currently being reconsidered for well-controlled diabetes. We developed a real-time continuous glucose monitor (CGM) to check glycemia, or blood glucose (BG), during diving, both for prospective studies and to increase diabetic diver safety, allowing for real-time control of glycemia and hypoglycemia prevention. To ensure CGM measurement accuracy we tested the method under hyperbaric conditions.
    


          Materials and methods:
        
      
      Two experienced diabetic divers were studied during a one-week diving cruise. BG was monitored every five minutes on every dive, by a dedicated CGM, and values were visible to the divers throughout their dives. The mean of relative difference (MRD) between CGM and capillary blood glucose was calculated. Measurement accuracy was assessed according to ISO guideline 15197 and by Clarke Error Grid (CEG) analysis.
    


          Results:
        
      
      Both divers showed gradual BG decrease during diving. Hyperbaric chamber accuracy tests showed two of 26 MRD values (7.7%) slightly exceeding the ISO-15197 allowed difference (5%). However, our data suggest that this discrepancy may have been an artefact.
    


          Discussion:
        
      
      Our data (even limited to two subjects only) agree with the current literature showing that also in our investigated subjects diving does not imply significant risks of hypoglycemia. The use of a real-time CGM by diabetic divers during their dives can provide immediate information on BG values and trends, thus significantly improving diving safety. The accuracy tests comparing continuous glucose monitoring (CGM) and capillary blood glucose measurement (CBM) data recorded under hyperbaric conditions showed that data recorded under pressure are very close to the ISO-15197 and CEG acceptable limits.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/27416695/,2022-11-19 11:48:51 PM
Orofacial problems in scuba diving: prevalence and prevention-a large-scale survey among civilian divers in France,"Paul-Alexandre Moyaux, Gabriel Fernandez de Grado, Anne-Marie Musset, Damien Offner, Paul-Alexandre Moyaux, Gabriel Fernandez de Grado, Anne-Marie Musset, Damien Offner",2022 Oct,"Self-contained underwater breathing apparatus (SCUBA) diving is becoming widely democratized among hobbyist practitioners. It can cause orofacial problems, mostly linked to pressure changes. The aim of this study was to assess the prevalence of these problems and to analyze civilian divers' behavior about their dental prevention in France, via a cross-sectional study. Data from 1015 French civilian divers were collected via a nationwide online questionnaire in which participants indicated information concerning orofacial experienced problems during their diving activity, and their medical preventive habits. As results, oral manifestations were experienced by 25.2% of the divers, including barodontalgia (10.8%), mouth syndrome (13.4%), gum pain (2.8%) and dental fractures caused by barotrauma (3.7%) or shocks (1.9%). Mouth syndrome was more frequent among women (18.6%) and divers aged between 18 and 34 years (18.9%). The prevalence of dental fractures increased significantly with age. High diving level was associated with more frequent barodontalgia (17.5%), gum pain (7%) and barotrauma (7.6%). Among respondents, 43.5% completed a dental examination before a diving season and showed fewer oral problems during their scuba diving practice than those who did not. In conclusion, oral problems in scuba diving represent frequent events that can compromise the safety of divers. Despite awareness rising, there is a lack of recourse to the dentist. This leads to incomplete information, especially concerning the preventive means available to divers.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/35637398/,2022-11-19 11:48:59 PM
The effect of using a pre-dive checklist on the incidence of diving mishaps in recreational scuba diving: a cluster-randomized trial,"Shabbar I Ranapurwala, Petar J Denoble, Charles Poole, Kristen L Kucera, Stephen W Marshall, Steve Wing, Shabbar I Ranapurwala, Petar J Denoble, Charles Poole, Kristen L Kucera, Stephen W Marshall, Steve Wing",2016 Feb,"Background:
        
      
      Scuba diving mishaps, caused by equipment problems or human errors, increase the occurrence of injuries and fatalities while diving. Pre-dive checklists may mitigate mishaps. This study evaluated the effect of using a pre-dive checklist on the incidence of diving mishaps in recreational divers.
    


          Methods:
        
      
      A multi-location cluster-randomized trial with parallel groups and allocation concealment was conducted between 1 June and 17 August 2012. The participants had to be at least 18 years of age, permitted to dive by the dive operator and planning to dive on the day of participation. They were recruited at the pier and dive boats at four locations. The intervention group received a pre-dive checklist and post-dive log. The control group received a post-dive log only. The outcomes, self-reported major and minor mishaps, were prompted by a post-dive questionnaire. Mishap rates per 100 dives were compared using Poisson regression with generalized estimating equations. Intent-to-treat, per-protocol and marginal structural model analyses were conducted.
    


          Results:
        
      
      A total of 1043 divers (intervention = 617; control = 426) made 2041 dives, on 70 location-days (intervention = 40; control = 30) at four locations. Compared with the control group, the incidence of major mishaps decreased in the intervention group by 36%, minor mishaps by 26% and all mishaps by 32%. On average, there was one fewer mishap in every 25 intervention dives.
    


          Conclusions:
        
      
      In this trial, pre-dive checklist use prevented mishaps which could lead to injuries and fatalities. Pre-dive checklists can increase diving safety and their use should be promoted. Trial Registration: ClinicalTrials.gov ID NCT01960738.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/26534948/,2022-11-19 11:49:00 PM
Safety of antimalarial medications for use while scuba diving in malaria Endemic Regions,"Kyle Petersen, David P Regis, Kyle Petersen, David P Regis",2016 Oct 11,"Background:
        
      
      Recreational diving occurs annually in areas of the world where malaria is endemic. The safety and efficacy of antimalarials for travelers in a hyperbaric environment is unknown. Of particular concern would be medications with adverse effects that could either mimic diving related illnesses such as barotrauma, decompression sickness (DCS) and gas toxicities, or increase the risk for such illnesses.
    


          Methods:
        
      
      We conducted a review of PubMed and Cochrane databases to determine rates of neurologic adverse effects or other effects from antimalarials that may be a problem in the diving environment.
    


          Results:
        
      
      One case report was found on diving and mefloquine. Multiple case reports and clinical trials were found describing neurologic adverse effects of the major chemoprophylactic medications atovaquone/proguanil, chloroquine, doxycycline, mefloquine, and primaquine.
    


          Conclusions:
        
      
      Of the available literature, atovaquone/proguanil and doxycycline are most likely the safest agents and should be preferred; atovaquone/proguanil is superior due to reduced rates of sunburn in the marine environment. Primaquine also appears to be safe, but has reduced efficacy against P. falciparum; mefloquine possesses the highest rate of neurologic side effects and therefore these agents should be limited to extreme cases of patients intolerant to other agents. Chloroquine appears unsafe in the hyperbaric environment and should be avoided. More studies are required to include database reviews of returned divers traveling to malaria endemic areas and randomized controlled trials in the hyperbaric environments.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/28883967/,2022-11-19 11:49:01 PM
SCUBA Diving in Pregnancy,"Robert L Reid, Melissa Lorenzo, Robert L Reid, Melissa Lorenzo",2018 Nov,"Objective:
        
      
      Obstetrical care providers may occasionally encounter women with questions about the safety of Self-Contained Underwater Breathing Apparatus (SCUBA) diving in pregnancy. This article provides an overview of safety issues associated with basic SCUBA diving and offers guidance to practitioners about how to evaluate and counsel pregnant women about the associated maternal and fetal risks. Basic diving physiology is reviewed and the implications of SCUBA diving during pregnancy are discussed. A literature review examined available animal and human data about the potential adverse effects of the physiological changes of pregnancy on divers, the impact of pressure changes during diving, and possible consequences of hyperbaric gas exposure and rapid decompression on mother and fetus.
    


          Data sources:
        
      
      Studies were found by searching the terms ""scuba diving,"" ""pregnancy,"" ""fetus,"" ""decompression illness,"" ""hyperbaric medicine,"" and ""animal studies"" in the databases Medline, Pubmed, and Embase. Reference lists from existing articles and reports from identified diving magazines were also reviewed. Studies were limited to the English language and included publications until 2016.
    


          Study selection:
        
      
      All relevant human studies were selected. Five retrospective studies and one prospective study assessing the antenatal and postnatal outcomes of women who participated in SCUBA diving while pregnant were reviewed.
    


          Data synthesis:
        
      
      Published data was limited in both quantity and quality. The authors' experience with SCUBA diving together with a background in obstetrics allowed themes to be explored and recommendations developed.
    


          Conclusions:
        
      
      In addition to established risks of SCUBA diving, pregnant women are at increased risk due to changes in body habitus (affecting equipment fitting and balance). Animal data suggest possible adverse fetal effects due to fetal decompression illness (DCI) and hyperbaric oxygen exposure. Human data, though generally reassuring, are of poor quality and thus do not completely exclude adverse outcomes. In general, women should be cautioned to avoid diving during pregnancy, but inadvertent exposure to recreational diving in early pregnancy is not a reason for pregnancy termination.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/29503252/,2022-11-19 11:49:09 PM
Full-Face Mask Use during SCUBA Diving Counters Related Oxidative Stress and Endothelial Dysfunction,"Morgan Levenez, Kate Lambrechts, Simona Mrakic-Sposta, Alessandra Vezzoli, Peter Germonpré, Hadrien Pique, Fabio Virgili, Gerardo Bosco, Pierre Lafère, Costantino Balestra, Morgan Levenez, Kate Lambrechts, Simona Mrakic-Sposta, Alessandra Vezzoli, Peter Germonpré, Hadrien Pique, Fabio Virgili, Gerardo Bosco, Pierre Lafère, Costantino Balestra",2022 Jan 15,"Impaired flow mediated dilation (FMD), an index of vascular stress, is known after SCUBA diving. This is related to a dysfunction of nitric oxide (NO) availability and a disturbance of the redox status, possibly induced by hyperoxic/hyperbaric gas breathing. SCUBA diving is usually performed with a mask only covering ""half face"" (HF) and therefore forcing oral breathing. Nasal NO production is involved in vascular homeostasis and, as consequence, can significantly reduce NO possibly promoting vascular dysfunction. More recently, the utilization of ""full-face"" (FF) mask, allowing nasal breathing, became more frequent, but no reports are available describing their effects on vascular functions in comparison with HF masks. In this study we assessed and compared the effects of a standard shallow dive (20 min at 10 m) wearing either FF or a HF mask on different markers of vascular function (FMD), oxidative stress (ROS, 8-iso-PGF2α) and NO availability and metabolism (NO2, NOx and 3-NT and iNOS expression). Data from a dive breathing a hypoxic (16% O2 at depth) gas mixture with HF mask are shown allowing hyperoxic/hypoxic exposure. Our data suggest that nasal breathing might significantly reduce the occurrence of vascular dysfunction possibly due to better maintenance of NO production and bioavailability, resulting in a better ability to counter reactive oxygen and nitrogen species. Besides the obvious outcomes in terms of SCUBA diving safety, our data permit a better understanding of the effects of oxygen concentrations, either in normal conditions or as a strategy to induce selected responses in health and disease.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/35055791/,2022-11-19 11:49:10 PM
"DAN Annual Diving Report 2018 Edition: A Report on 2016 Diving Fatalities, Injuries, and Incidents [Internet]","Peter Buzzacott, Petar J. Denoble, Peter Buzzacott, Petar J. Denoble",,"The 2018 DAN Annual Diving Report is a summary of recreational scuba diving and freediving incidents, injuries and fatalities that occurred in 2016 in the U.S. or Canada or that involved U.S. or Canadian residents. DAN’s intention is for this annual publication to enhance awareness of dive injuries and give divers the insights they need to better avoid emergencies.
    

      
      DAN received notification of 169 deaths involving recreational scuba diving in 2016. The largest numbers of reported fatalities occurred in Florida and California, with 20 and 7 fatalities respectively.
    

      
      The geospatial distribution of the reported fatalities by region is: 72 in North America, 27 in Europe, 23 in Oceania, 19 in the Caribbean, 18 in Asia, 4 in South America, and 1 each in Northern Africa, Southern Africa, the Middle East and Central America. The location was unknown in two cases.
    

      
      Diving injury data analyzed in this report comes mainly from DAN’s Medical Services Call Center (MSCC) and its annual survey of hyperbaric chambers. Section 2, Diving Injuries, categorizes the types of injuries managed by DAN Medical Services and includes summaries of actual cases. In 2016, there were 10,320 calls or emails to the MSCC from divers who needed assistance, information or consultation; 59% of these cases were dive-related, and 41% were not. The most common dive-related health issues discussed during these calls were barotrauma, decompression sickness and marine envenomations.
    

      
      The Diving Incident Reporting System (DIRS) collects diving incident reports through the DAN website, www.DAN.org. Divers worldwide are encouraged to report any incidents that occur during dives via this system. Of the 102 incidents reported in 2016, 91 involved open-circuit scuba diving, 5 involved rebreather diving, and 6 involved breath-hold diving.
    

      
      In addition to the injury surveillance data collected by DAN in Durham, North Carolina, additional injury surveillance data analyzed in this report was contributed by DAN-affiliated agencies and other organizations around the world. Section 5 features reports from DAN Europe, DAN Japan and DAN Asia Pacific. Other organizations that reported their findings were the British Sub-Aqua Club (BSAC), New Zealand Underwater Association, the Irish Underwater Council and the Underwater Council of British Columbia.
    

      
      Although scuba diving accidents can be fatal, many can be prevented with safe diving practices and by understanding how to identify hazards and avoid or mitigate the risks that cause accidents. The DAN Hazard Identification and Risk Assessment Program enables divers and dive operators to recognize and avoid these risks; this program is described in Appendix B: DAN Operational Safety Programs.
    

      
      DAN exists to provide divers with the resources they need to make every dive accident- and injury-free. When accidents cannot be prevented, DAN is here to provide divers with emergency assistance no matter where in the world they are.
    

      
      With the support of all the DAN offices and contributors worldwide, DAN is committed to providing resources that will resonate with and be useful to divers everywhere.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/31021587/,2022-11-19 11:49:11 PM
