title,writer,date,abstract,published_institution_url,original_url,timestamp
"Benchmarking Wearable Robots: Challenges and Recommendations From Functional, User Experience, and Methodological Perspectives","Diego Torricelli, Carlos Rodriguez-Guerrero, Jan F Veneman, Simona Crea, Kristin Briem, Bigna Lenggenhager, Philipp Beckerle, Diego Torricelli, Carlos Rodriguez-Guerrero, Jan F Veneman, Simona Crea, Kristin Briem, Bigna Lenggenhager, Philipp Beckerle",2020 Nov 13,"Wearable robots (WRs) are increasingly moving out of the labs toward real-world applications. In order for WRs to be effectively and widely adopted by end-users, a common benchmarking framework needs to be established. In this article, we outline the perspectives that in our opinion are the main determinants of this endeavor, and exemplify the complex landscape into three areas. The first perspective is related to quantifying the technical performance of the device and the physical impact of the device on the user. The second one refers to the understanding of the user's perceptual, emotional, and cognitive experience of (and with) the technology. The third one proposes a strategic path for a global benchmarking methodology, composed by reproducible experimental procedures representing real-life conditions. We hope that this paper can enable developers, researchers, clinicians and end-users to efficiently identify the most promising directions for validating their technology and drive future research efforts in the short and medium term.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/33501326/,2022-11-27 11:26:36 PM
Human Factors and User Experience Issues with Ventricular Assist Device Wearable Components: A Systematic Review,"Jessica Lea Dunn, Erez Nusem, Karla Straker, Shaun Gregory, Cara Wrigley, Jessica Lea Dunn, Erez Nusem, Karla Straker, Shaun Gregory, Cara Wrigley",2019 Dec,"Ventricular Assist Devices (VADs) provide continuous mechanical circulatory support during in- and out-of-hospital care. However, limitations of the external wearable components influence patient quality of life. There is insufficient understanding of the issues with such components that combines a holistic viewpoint from both human factors and user (including patient and caregiver) experience perspectives. This paper comprehensively details the issues with VAD wearable systems and proposes a way for human-centered design to bridge the gap, addressing such issues synergistically. Through the review the authors investigated: the user issues caused by wearable components of VADs, and how human factors issues correlate to the VAD user experience. A Boolean search (""ventricular assist"" AND ""human factors"" AND ""experience"") for peer-reviewed studies published between 2008 and 2018 returned 338 titles, with 35 relevant studies selected using a PRISMA process for inclusion in cross-study analysis and synthesis. This paper provides design recommendations for the issues found in the literature. Four key focus areas to inform the future design of VAD wearable components were identified-'Power Supply', 'Wearability and Travel Freedom', 'The Female Experience' and 'Intuitive Handling'. Using design to drive innovation could result in VAD wearable components which better meet or exceed users' quality of life goals.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/31342334/,2022-11-27 11:26:50 PM
Enhancing Home Health Mobile Phone App Usability Through General Smartphone Training: Usability and Learnability Case Study,"Richard Harte, Tony Hall, Liam Glynn, Alejandro Rodríguez-Molinero, Thomas Scharf, Leo R Quinlan, Gearóid ÓLaighin, Richard Harte, Tony Hall, Liam Glynn, Alejandro Rodríguez-Molinero, Thomas Scharf, Leo R Quinlan, Gearóid ÓLaighin",2018 Apr 26,"Background:
        
      
      Each year, millions of older adults fall, with more than 1 out of 4 older people experiencing a fall annually, thereby causing a major social and economic impact. Falling once doubles one’s chances of falling again, making fall prediction an important aspect of preventative strategies. In this study, 22 older adults aged between 65 and 85 years were trained in the use of a smartphone-based fall prediction system. The system is designed to continuously assess fall risk by measuring various gait and balance parameters using a smart insole and smartphone, and is also designed to detect falls. The use case of the fall prediction system in question required the users to interact with the smartphone via an app for device syncing, data uploads, and checking system status.
    


          Objective:
        
      
      The objective of this study was to observe the effect that basic smartphone training could have on the user experience of a group that is not technically proficient with smartphones when using a new connected health system. It was expected that even short rudimentary training could have a large effect on user experience and therefore increase the chances of the group accepting the new technology.
    


          Methods:
        
      
      All participants received training on how to use the system smartphone app; half of the participants (training group) also received extra training on how to use basic functions of the smartphone, such as making calls and sending text messages, whereas the other half did not receive this extra training (no extra training group). Comparison of training group and no extra training group was carried out using metrics such as satisfaction rating, time taken to complete tasks, cues required to complete tasks, and errors made during tasks.
    


          Results:
        
      
      The training group fared better in the first 3 days of using the system. There were significant recorded differences in number of cues required and errors committed between the two groups. By the fourth and fifth day of use, both groups were performing at the same level when using the system.
    


          Conclusions:
        
      
      Supplementary basic smartphone training may be critical in trials where a smartphone app–based system for health intervention purposes is being introduced to a population that is not proficient with technology. This training could prevent early technology rejection and increase the engagement of older participants and their overall user experience with the system.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/29699969/,2022-11-27 11:27:00 PM
Embedded Model Predictive Control for a Wearable Artificial Pancreas,"Ankush Chakrabarty, Elizabeth Healey, Dawei Shi, Stamatina Zavitsanou, Francis J Doyle 3rd, Eyal Dassau, Ankush Chakrabarty, Elizabeth Healey, Dawei Shi, Stamatina Zavitsanou, Francis J Doyle 3rd, Eyal Dassau",2020 Nov,"While artificial pancreas (AP) systems are expected to improve the quality of life among people with type 1 diabetes mellitus (T1DM), the design of convenient systems that optimize the user experience, especially for those with active lifestyles, such as children and adolescents, still remains an open research question. In this work, we introduce an embeddable design and implementation of model predictive control (MPC) of AP systems for people with T1DM that significantly reduces the weight and on-body footprint of the AP system. The embeddable controller is based on a zone MPC that has been evaluated in multiple clinical studies. The proposed embedded zone MPC features a simpler design of the periodic safe zone in the cost function and the utilization of state-of-the-art alternating minimization algorithms for solving the convex programming problems inherent to MPC with linear models subject to convex constraints. Off-line closed-loop data generated by the FDA-accepted UVA/Padova simulator is used to select an optimization algorithm and corresponding tuning parameters. Through hardware-in-the-loop in silico results on a limited-resource Arduino Zero (Feather M0) platform, we demonstrate the potential of the proposed embedded MPC. In spite of resource limitations, our embedded zone MPC manages to achieve comparable performance of that of the full-version zone MPC implemented in a 64-bit desktop for scenarios with/without meal-disturbance compensations. Metrics for performance comparison included median percent time in the euglycemic ([70, 180] mg/dL range) of 84.3% vs. 83.1% for announced meals, with an equivalence test yielding p = 0.0013 and 66.2% vs. 66.0% for unannounced meals with p = 0.0028.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/33762804/,2022-11-27 11:27:01 PM
Novel Bluetooth-Enabled Tubeless Insulin Pump: A User Experience Design Approach for a Connected Digital Diabetes Management Platform,"Sandhya S Pillalamarri, Lauren M Huyett, Aiman Abdel-Malek, Sandhya S Pillalamarri, Lauren M Huyett, Aiman Abdel-Malek",2018 Nov,"Background:
        
      
      Medical device technology is evolving at a rapid pace, with increasing patient expectations to use modern technologies for diabetes management. With the significant expansion of the use of wireless technology and complex, securely connected digital platforms in medical devices, end user needs and behaviors have become essential areas of focus.
    


          Methods:
        
      
      This article provides a detailed description of the user-centered design approach implemented in developing the Omnipod DASH™ Insulin Management System (Insulet Corp., Billerica, MA) Bluetooth®-enabled locked-down Android device handheld controller (Personal Diabetes Manager, PDM). Key methodologies used in the PDM design are described, including how the science of user experience (UX) was integrated into new agile product development. UX methods employed included heuristic evaluations of insulin pumps, iterative formative usability testing, information architecture studies, in-home ethnographic visits, participatory design activities, and interviews.
    


          Results:
        
      
      Over 343 users participated in UX research and testing. Key design choices informed by UX research included updating the layout of critical data on the PDM home page, providing access to requested contextual information while a bolus is in progress, and creating an easy-to-understand visual of a 24-hour basal program. Task completion rates for comprehending information on the PDM home page were 87% or greater. The System Usability Scale result for the design prior to limited market release was 84.4 ± 13.4 (out of 100; n = 37).
    


          Conclusions:
        
      
      The UX process described in this article can serve as a blueprint for medical device manufacturers seeking to enhance product development. Adopting UX research methodologies will help ensure that new diabetes devices are safe, easy-to-use, and meet the needs of users.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/30304951/,2022-11-27 11:27:01 PM
Augmenting Critical Care Patient Monitoring Using Wearable Technology: Review of Usability and Human Factors,"Evismar Andrade, Leo Quinlan, Richard Harte, Dara Byrne, Enda Fallon, Martina Kelly, Siobhan Casey, Frank Kirrane, Paul O'Connor, Denis O'Hora, Michael Scully, John Laffey, Patrick Pladys, Alain Beuchée, Gearoid ÓLaighin, Evismar Andrade, Leo Quinlan, Richard Harte, Dara Byrne, Enda Fallon, Martina Kelly, Siobhan Casey, Frank Kirrane, Paul O'Connor, Denis O'Hora, Michael Scully, John Laffey, Patrick Pladys, Alain Beuchée, Gearoid ÓLaighin",2021 May 25,"Background:
        
      
      Continuous monitoring of the vital signs of critical care patients is an essential component of critical care medicine. For this task, clinicians use a patient monitor (PM), which conveys patient vital sign data through a screen and an auditory alarm system. Some limitations with PMs have been identified in the literature, such as the need for visual contact with the PM screen, which could result in reduced focus on the patient in specific scenarios, and the amount of noise generated by the PM alarm system. With the advancement of material science and electronic technology, wearable devices have emerged as a potential solution for these problems. This review presents the findings of several studies that focused on the usability and human factors of wearable devices designed for use in critical care patient monitoring.
    


          Objective:
        
      
      The aim of this study is to review the current state of the art in wearable devices intended for use by clinicians to monitor vital signs of critical care patients in hospital settings, with a focus on the usability and human factors of the devices.
    


          Methods:
        
      
      A comprehensive literature search of relevant databases was conducted, and 20 studies were identified and critically reviewed by the authors.
    


          Results:
        
      
      We identified 3 types of wearable devices: tactile, head-mounted, and smartwatch displays. In most cases, these devices were intended for use by anesthesiologists, but nurses and surgeons were also identified as potentially important users of wearable technology in critical care medicine. Although the studies investigating tactile displays revealed their potential to improve clinical monitoring, usability problems related to comfort need to be overcome before they can be considered suitable for use in clinical practice. Only a few studies investigated the usability and human factors of tactile displays by conducting user testing involving critical care professionals. The studies of head-mounted displays (HMDs) revealed that these devices could be useful in critical care medicine, particularly from an ergonomics point of view. By reducing the amount of time the user spends averting their gaze from the patient to a separate screen, HMDs enable clinicians to improve their patient focus and reduce the potential of repetitive strain injury.
    


          Conclusions:
        
      
      Researchers and designers of new wearable devices for use in critical care medicine should strive to achieve not only enhanced performance but also enhanced user experience for their users, especially in terms of comfort and ease of use. These aspects of wearable displays must be extensively tested with the intended end users in a setting that properly reflects the intended context of use before their adoption can be considered in clinical settings.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/34032574/,2022-11-27 11:27:03 PM
StraightenUp+: Monitoring of Posture during Daily Activities for Older Persons Using Wearable Sensors,"Gabriela Cajamarca, Iyubanit Rodríguez, Valeria Herskovic, Mauricio Campos, Juan Carlos Riofrío, Gabriela Cajamarca, Iyubanit Rodríguez, Valeria Herskovic, Mauricio Campos, Juan Carlos Riofrío",2018 Oct 11,"Monitoring the posture of older persons using portable sensors while they carry out daily activities can facilitate the process of generating indicators with which to evaluate their health and quality of life. The majority of current research into such sensors focuses primarily on their functionality and accuracy, and minimal effort is dedicated to understanding the experience of older persons who interact with the devices. This study proposes a wearable device to identify the bodily postures of older persons, while also looking into the perceptions of the users. For the purposes of this study, thirty independent and semi-independent older persons undertook eight different types of physical activity, including: walking, raising arms, lowering arms, leaning forward, sitting, sitting upright, transitioning from standing to sitting, and transitioning from sitting to standing. The data was classified offline, achieving an accuracy of 93.5%, while overall device user perception was positive. Participants rated the usability of the device, in addition to their overall user experience, highly.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/30314352/,2022-11-27 11:27:04 PM
Development of User-Friendly Wearable Electronic Textiles for Healthcare Applications,"Kai Yang, Katie Meadmore, Chris Freeman, Neil Grabham, Ann-Marie Hughes, Yang Wei, Russel Torah, Monika Glanc-Gostkiewicz, Steve Beeby, John Tudor, Kai Yang, Katie Meadmore, Chris Freeman, Neil Grabham, Ann-Marie Hughes, Yang Wei, Russel Torah, Monika Glanc-Gostkiewicz, Steve Beeby, John Tudor",2018 Jul 25,"This paper presents research into a user-friendly electronic sleeve (e-sleeve) with integrated electrodes in an array for wearable healthcare. The electrode array was directly printed onto an everyday clothing fabric using screen printing. The fabric properties and designed structures of the e-sleeve were assessed and refined through interaction with end users. Different electrode array layouts were fabricated to optimize the user experience in terms of comfort, effectivity and ease of use. The e-sleeve uses dry electrodes to facilitate ease of use and the electrode array can survive bending a sufficient number of times to ensure an acceptable usage lifetime. Different cleaning methods (washing and wiping) have been identified to enable reuse of the e-sleeve after contamination during use. The application of the e-sleeve has been demonstrated via muscle stimulation on the upper limb to achieve functional tasks (e.g., hand opening, pointing) for eight stroke survivors.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/30044382/,2022-11-27 11:27:04 PM
Manufacturing worker perceptions of using wearable inertial sensors for multiple work shifts,"Xuanxuan Zhang, Mark C Schall Jr, Howard Chen, Sean Gallagher, Gerard A Davis, Richard Sesek, Xuanxuan Zhang, Mark C Schall Jr, Howard Chen, Sean Gallagher, Gerard A Davis, Richard Sesek",2022 Jan,"Wearable inertial sensors may be used to objectively quantify exposure to some physical risk factors associated with musculoskeletal disorders. However, concerns regarding their potential negative effects on user safety and satisfaction remain. This study characterized the self-reported daily discomfort, distraction, and burden associated with wearing inertial sensors on the upper arms, trunk, and dominant wrist of 31 manufacturing workers collected over 15 full work shifts. Results indicated that the workers considered the devices as generally comfortable to wear, not distracting, and not burdensome to use. Exposure to non-neutral postures (discomfort, right arm, beta = 0.02; trunk, beta = -0.01), non-cyclic tasks (distraction, beta = -0.26), and higher body mass indices (discomfort, beta = 0.05; distraction, beta = 0.02) contributed to statistically significant (p < 0.05), albeit practically small increases in undesirable ratings. For instance, for each additional percentage of time working with the right arm elevated ≥60°, self-reported discomfort ratings increased 0.02 cm on a standard 10 cm visual analog scale. Female workers reported less discomfort and distraction while wearing the sensors at work than males (discomfort, beta = -0.93; distraction, beta = -0.3). In general, the low ratings of discomfort, distraction, and burden associated with wearing the devices during work suggests that inertial sensors may be suitable for extended use among manufacturing workers.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/34507084/,2022-11-27 11:27:05 PM
Data Collection Mechanisms in Health and Wellness Apps: Review and Analysis,"Ben Joseph Philip, Mohamed Abdelrazek, Alessio Bonti, Scott Barnett, John Grundy, Ben Joseph Philip, Mohamed Abdelrazek, Alessio Bonti, Scott Barnett, John Grundy",2022 Mar 9,"Background:
        
      
      There has been a steady rise in the availability of health wearables and built-in smartphone sensors that can be used to collect health data reliably and conveniently from end users. Given the feature overlaps and user tendency to use several apps, these are important factors impacting user experience. However, there is limited work on analyzing the data collection aspect of mobile health (mHealth) apps.
    


          Objective:
        
      
      This study aims to analyze what data mHealth apps across different categories usually collect from end users and how these data are collected. This information is important to guide the development of a common data model from current widely adopted apps. This will also inform what built-in sensors and wearables, a comprehensive mHealth platform should support.
    


          Methods:
        
      
      In our empirical investigation of mHealth apps, we identified app categories listed in a curated mHealth app library, which was then used to explore the Google Play Store for health and medical apps that were then filtered using our selection criteria. We downloaded these apps from a mirror site hosting Android apps and analyzed them using a script that we developed around the popular AndroGuard tool. We analyzed the use of Bluetooth peripherals and built-in sensors to understand how a given app collects health data.
    


          Results:
        
      
      We retrieved 3251 apps meeting our criteria, and our analysis showed that 10.74% (349/3251) of these apps requested Bluetooth access. We found that 50.9% (259/509) of the Bluetooth service universally unique identifiers to be known in these apps, with the remainder being vendor specific. The most common health-related Bluetooth Low Energy services using known universally unique identifiers were Heart Rate, Glucose, and Body Composition. App permissions showed the most used device module or sensor to be the camera (669/3251, 20.57%), closely followed by location (598/3251, 18.39%), with the highest occurrence in the staying healthy app category.
    


          Conclusions:
        
      
      We found that not many health apps used built-in sensors or peripherals for collecting health data. The small number of the apps using Bluetooth, with an even smaller number of apps using standard Bluetooth Low Energy services, indicates a wider use of proprietary algorithms and custom services, which restrict the device use. The use of standard profiles could open this ecosystem further and could provide end users more options for apps. The relatively small proportion of apps using built-in sensors along with a high reliance on manual data entry suggests the need for more research into using sensors for data collection in health and fitness apps, which may be more desirable and improve end user experience.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/35262499/,2022-11-27 11:27:18 PM
