title,writer,date,abstract,published_institution_url,original_url,timestamp
Breath-Hold Diving,"John R Fitz-Clarke, John R Fitz-Clarke",2018 Mar 25,"Breath-hold diving is practiced by recreational divers, seafood divers, military divers, and competitive athletes. It involves highly integrated physiology and extreme responses. This article reviews human breath-hold diving physiology beginning with an historical overview followed by a summary of foundational research and a survey of some contemporary issues. Immersion and cardiovascular adjustments promote a blood shift into the heart and chest vasculature. Autonomic responses include diving bradycardia, peripheral vasoconstriction, and splenic contraction, which help conserve oxygen. Competitive divers use a technique of lung hyperinflation that raises initial volume and airway pressure to facilitate longer apnea times and greater depths. Gas compression at depth leads to sequential alveolar collapse. Airway pressure decreases with depth and becomes negative relative to ambient due to limited chest compliance at low lung volumes, raising the risk of pulmonary injury called ""squeeze,"" characterized by postdive coughing, wheezing, and hemoptysis. Hypoxia and hypercapnia influence the terminal breakpoint beyond which voluntary apnea cannot be sustained. Ascent blackout due to hypoxia is a danger during long breath-holds, and has become common amongst high-level competitors who can suppress their urge to breathe. Decompression sickness due to nitrogen accumulation causing bubble formation can occur after multiple repetitive dives, or after single deep dives during depth record attempts. Humans experience responses similar to those seen in diving mammals, but to a lesser degree. The deepest sled-assisted breath-hold dive was to 214 m. Factors that might determine ultimate human depth capabilities are discussed. © 2018 American Physiological Society. Compr Physiol 8:585-630, 2018.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/29687909/,2022-11-28 02:41:48 AM
Effect of hyperbaric oxygen treatment on patients with reduced left ventricular ejection fraction,"Joëlle Vincent, Marie-Kristelle Ross, Neal W Pollock, Joëlle Vincent, Marie-Kristelle Ross, Neal W Pollock",2021 Sep 30,"Introduction:
        
      
      Hyperbaric oxygen treatment (HBOT) is available to a wide spectrum of patients, many with significant co-morbidities. Considering its effects on cardiac physiology and reports of pulmonary oedema following exposure, concerns exist about the safety of patients with compromised cardiac function. Few studies have described adverse events occurring during HBOT and even fewer reports address events arising in the hours following HBOT. A relation between adverse events and cardiac function has not been established. As medical guidance is limited, we aimed to evaluate the risk for patients with reduced left ventricular ejection fraction (LVEF) receiving HBOT.
    


          Methods:
        
      
      This retrospective chart review of patients receiving HBOT from April 2003 through December 2019 at our hospital was designed to describe clinical characteristics of patients and to identify adverse events during HBOT and within 24 hours after HBOT. Patients ≥ 40 years of age with a documented LVEF of ≤ 40% were included. Data are presented as mean (SD) [range] or counts, as appropriate.
    


          Results:
        
      
      A total of 23 patients were included in the final analysis, 2 (1) [0-4] patients per year. Patients received 25 (19) [1-60] treatments. Two patients had an episode of acute decompensated heart failure possibly linked to HBOT.
    


          Conclusions:
        
      
      This study described the clinical characteristics of patients with reduced LVEF receiving HBOT and showed reassuring results, with a majority of patients with reduced LVEF tolerating HBOT well. Prospective research is required to more fully assess the risk.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/34547776/,2022-11-28 02:42:42 AM
Microglial efferocytosis: Diving into the Alzheimer's disease gene pool,"Carmen Romero-Molina, Francesca Garretti, Shea J Andrews, Edoardo Marcora, Alison M Goate, Carmen Romero-Molina, Francesca Garretti, Shea J Andrews, Edoardo Marcora, Alison M Goate",2022 Nov 2,"Genome-wide association studies and functional genomics studies have linked specific cell types, genes, and pathways to Alzheimer's disease (AD) risk. In particular, AD risk alleles primarily affect the abundance or structure, and thus the activity, of genes expressed in macrophages, strongly implicating microglia (the brain-resident macrophages) in the etiology of AD. These genes converge on pathways (endocytosis/phagocytosis, cholesterol metabolism, and immune response) with critical roles in core macrophage functions such as efferocytosis. Here, we review these pathways, highlighting relevant genes identified in the latest AD genetics and genomics studies, and describe how they may contribute to AD pathogenesis. Investigating the functional impact of AD-associated variants and genes in microglia is essential for elucidating disease risk mechanisms and developing effective therapeutic approaches.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/36327897/,2022-11-28 02:42:43 AM
"Essential (Cu, Zn) and nonessential (Pb, Cd) metals in the muscle of leopard groupers (Mycteroperca rosacea) from a mining port in the Gulf of California, Mexico: human health risk assessment","Marina Soledad Irigoyen-Arredondo, Xchel Gabriel Moreno-Sánchez, Ofelia Escobar-Sánchez, Martín Federico Soto-Jiménez, Emigdio Marín-Enríquez, Leonardo Andrés Abitia-Cárdenas, Marina Soledad Irigoyen-Arredondo, Xchel Gabriel Moreno-Sánchez, Ofelia Escobar-Sánchez, Martín Federico Soto-Jiménez, Emigdio Marín-Enríquez, Leonardo Andrés Abitia-Cárdenas",2022 May,"Mining activities are a current environmental issue due to heavy metal release and subsequent metal uptake by organisms. In this study, we quantified the concentrations of essential (Cu, Zn) and toxic (Cd, Pb) elements in the muscle of 248 leopard groupers, Mycteroperca rosacea, captured by spearfishing and free diving close to a mining district in the Gulf of California during 2014-2015. We analysed metals using high-resolution inductively coupled plasma source mass spectrometry (HR-ICP-MS). We analysed metal concentrations by fish size, sex, maturity, season, year and risk factor for human consumption. The results indicated common levels of essential elements (Cu: 11 ± 34.3 μg/g, Zn: 377 ± 1390 μg/g) in comparison with toxic elements (Cd: 0.06 ± 0.1 μg/g, Pb: 0.98 ± 1.5 μg/g). Cadmium was within the permissible limit of Mexican standards (0.5 μg/g), but lead content bordered its limit (1.0 μg/g). Heavy metal concentrations were comparable between males and females. Metal variations were not significantly correlated with sex, maturity, season or year (p > 0.05). The evaluation of benefits (daily mineral intake) and risks (target hazard quotients) to health indicated that these fish did not represent a risk of adverse effects to consumers within worldwide limits, while the nutritional benefits were high.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/35048347/,2022-11-28 02:42:44 AM
Halitosis: could it be a predictor of stroke?,"Wei-Shih Tseng, Wei-Shih Tseng",2014 Mar,"Stroke is a medical emergency and can cause permanent neurological disability and death. Halitosis (bad breath) has been reported in many stroke patients. We speculated that this phenomenon may be present before as well as after a stroke. Moreover, many studies have shown that most of the causes of halitosis are also associated with an increased risk of stroke. Therefore, we hypothesized that the severity of halitosis could be a predictor of stroke. We hope that this hypothesis can be confirmed by further investigations, and that if confirmed it can be used as a tool to monitor disease control and/or early diagnosis and intervention of newly developed diseases related to both halitosis and stroke.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/24472866/,2022-11-28 02:42:45 AM
Observational study of early diaphragm pacing in cervical spinal cord injured patients to decrease mechanical ventilation during the COVID-19 pandemic,"Raymond P Onders, MaryJo Elmo, Brian Young, Glen Tinkoff, Raymond P Onders, MaryJo Elmo, Brian Young, Glen Tinkoff",2022 Sep 7,"Background:
        
      
      Decreasing the burden of mechanical ventilation for spinal cord injuries was never more relevant than during the COVID-19 pandemic. Data have shown diaphragm pacing can replace mechanical ventilation, decrease wean times, improve respiratory mechanics, and decrease hospital costs for patients with spinal cord injuries. This is the largest report of diaphragm pacing during the pandemic.
    


          Methods:
        
      
      This is a retrospective analysis of prospective Institutional Review Board approved databases of nonrandomized interventional experience at a single institution. Subgroup analysis limited to traumatic cervical spinal cord injuries that were implanted laparoscopically with diaphragm electrodes within 30 days of injury.
    


          Results:
        
      
      For the study group of early implanted traumatic cervical spinal cord injuries, 13 subjects were identified from a database of 197 diaphragm pacing implantations from January 1, 2020, to December 31, 2022, for all indications. All subjects were male with an average age of 49.3 years (range, 17-70). Injury mechanisms included falls (6), motor vehicle accident (4), gunshot wound (2), and diving (1). Time from injury to diaphragm pacing averaged 11 days (range, 3-22). Two patients are deceased and neither weaned from mechanical ventilation. Nine of the remaining 11 patients weaned from mechanical ventilation. Four patients never had a tracheostomy and 3 additional patients had tracheostomy decannulation. Three of these high-risk pulmonary compromised patients survived COVID-19 infections utilizing diaphragm pacing.
    


          Conclusion:
        
      
      Diaphragm pacing successfully weaned from mechanical ventilation 82% of patients surviving past 90 days. Forty-four percent of this group never underwent a tracheostomy. Only 22% of the weaned group required long term tracheostomies. Early diaphragm pacing for spinal cord injuries decreases mechanical ventilation usage and tracheostomy need which allows for earlier placement for rehabilitation.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/36266119/,2022-11-28 02:42:45 AM
Acute kidney injury caused by decompression illness successfully treated with hyperbaric oxygen therapy and temporary dialysis,"Arata Hibi, Keisuke Kamiya, Takahisa Kasugai, Keisuke Kamiya, Satoru Kominato, Chiharu Ito, Toshiyuki Miura, Katsushi Koyama, Arata Hibi, Keisuke Kamiya, Takahisa Kasugai, Keisuke Kamiya, Satoru Kominato, Chiharu Ito, Toshiyuki Miura, Katsushi Koyama",2017 Nov,"A 52-year-old Japanese male professional diver was referred to our hospital for decompression illness (DCI). After 1 h of diving operation at 20 m below sea level, he complained of dyspnea, chest pain, and abdominal pain. He dove again, intending to ease the symptoms, but the symptoms were never relieved. He dove for a total of 4 h. No neurological abnormalities were observed. Computed tomography images revealed portal venous gas and mesenteric venous gas, in addition to bubbles in the femoral veins, pelvis, lumbar canal, intracranial sinuses, and joints. Hyperbaric oxygen therapy (HBOT) was immediately administered. His symptoms improved after the first course of HBOT, however, the patient had anuria for almost 36 h after admission and exhibited acute kidney injury (AKI). Serum creatinine and creatine kinase (CK) levels were increased to maximal values of 6.16 mg/dL and 18,963 U/L, respectively. Blood flow signals were not detected on kidney Doppler ultrasound. We considered that AKI was caused by blood flow impairment and capillary leak syndrome due to DCI in addition to rhabdomyolysis secondary to arterial gas embolism in the skeletal muscles. Temporary dialysis was required to correct the acidemia and electrolyte disturbance. Diuretic phase was initiated, and the patient was put off dialysis on day 3. Serum creatinine and CK levels returned to normal on day 11. He was successfully treated without any complications. Although AKI is a rare manifestation, we should consider AKI risk in patients with severe DCI.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/28900861/,2022-11-28 02:42:46 AM
[The Traumatic Tympanic Membrane Perforation - Aetiology and Therapy],"F Kraus, R Hagen, F Kraus, R Hagen",2015 Sep,"Background:
        
      
      The use of cotton swabs is well known as a cause of a traumatic membrane perforation. More reasons are known. A detailed description of the aetiology and therapy in Germany does not exist. The treatment consist of a readaptation of the perforation an splinting of the tympanic membrane with paper sheets or silicon foils.
    


          Materials and methods:
        
      
      238 patients with an acute tympanic membrane perforation were included in this retrospective study. They were treated between 2005 and 2010.
    


          Results:
        
      
      The mean causes of a traumatic tympanic membrane perforation were slaps with the open hand (37.4%), the use of a cotton swab (19.3%) and high diving (13.0%). The perforations have been splinted with paper sheets or silicon foils. The rate of complete wound closure after splinting with different materials are comparable (71.9% and 81.8%). The side effects are low.
    


          Conclusion:
        
      
      This is the first study about the aetiology of traumatic tympanic membrane perforations in Germany. There is no statistic difference between the 2 materials for tympanic membrane splinting. A traumatic tympanic membrane perforation should be treatet at least to improve the air conduction threshold.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/25565334/,2022-11-28 02:42:47 AM
The impact of freediving on psychomotor performance and blood catecholamine concentration,"Jan Chmura, Adam Kawczyński, Marek Medraś, Paweł Jóźków, Bartosz Morawiec, Jan Chmura, Adam Kawczyński, Marek Medraś, Paweł Jóźków, Bartosz Morawiec",2014 Mar-Apr,"The aim of the study was to investigate the effects of breath-hold diving on divers' psychomotor performance and blood adrenaline, noradrenaline and lactate concentrations. Four male divers took part in the experiment. During the study the divers' choice reaction time as well as plasma concentration of adrenaline, noradrenaline and lactate were measured. The measurements were carried out before immersion (before a warm-up), three minutes after the dive, and 60 minutes after the dive. A reduction in the reaction time to audiovisual stimuli was found in three divers, three minutes after the dive. Diver 4, who broke his personal best record, had a longer choice reaction time at three minutes after the dive. The adrenaline concentration was lowered in Diver 1 and Diver 2, at three minutes after the dive. The adrenaline level in Diver 3 was relatively steady at all test measurements. In Diver 4, who broke his personal best, a twofold increase in adrenaline concentration was noted at three minutes after the dive. All examined divers revealed an increase in noradrenaline blood level at three minutes after the dive. The results of the study are of great practical value since disturbed reactions during freediving can put the diver at the risk of serious barotraumas.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/24851548/,2022-11-28 02:45:01 AM
Running the gauntlet: regional movement patterns of Manta alfredi through a complex of parks and fisheries,"Elitza S Germanov, Andrea D Marshall, Elitza S Germanov, Andrea D Marshall",2014 Oct 22,"Manta rays (Genus Manta) are economically important for fisheries and tourism in Indonesia. These species have been listed by the International Union for the Conservation of Nature Red List as Vulnerable to extinction; therefore, human exploitation of manta rays must be regulated. A better understanding of the habitat use and movement patterns of manta rays in Indonesia is needed in order to employ effective conservation measures. To gain better insight into the movements of Manta alfredi we used 'Manta Matcher', an online database with an integrated automated matching algorithm, to compare photographs from 2,604 encounters of M. alfredi collected by recreational divers and dive operators throughout Indonesia over a nine-year period. This photographic comparison revealed that manta rays migrated between regional sanctuaries such as Nusa Penida, the Gili Islands, and the Komodo National Park (up to 450 km straight-line distance). The areas between these sanctuaries are heavily fished and trafficked by ships, and when manta rays travel through these regions they risk being fished and injured by ship strikes. These long-range manta ray movements suggest connectivity between M. alfredi populations in neighboring islands and raise concerns about the future management of regional populations. It is recommended that a national conservation strategy be developed to protect the remaining populations in the country.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/25337865/,2022-11-28 02:45:02 AM
