title,writer,date,abstract,published_institution_url,original_url,timestamp
Injuries and Fatalities Related to Freediving: A Case Report and Literature Review,"Michael F Allen, Deborah E Allen, Michael F Allen, Deborah E Allen",2022 Oct 16,"This case report and literature review aim to explore the range of injuries sustained in the sport of freediving. The case report involves a 37-year-old patient who sustained a pneumothorax secondary to freediving. We conducted the literature review to analyse the injuries associated with freediving. We used the combination of search terms 'freediving"", ""injuries"", and ""breath-hold diving"" on the database PubMed®. A total of 40 studies were eligible for inclusion in this review. The search revealed a wide range of ophthalmological, pulmonary, neurological, ear, nose, and throat injuries, along with several fatalities. Freediving is a sport performed in extreme environments and, if undertaken by inexperienced, untrained, or competition divers, can lead to severe injury or even death. However, the risk of damage can be reduced by performing it responsibly with the appropriate training and by using proper safety measures. Future research is warranted into the psychological, physiological, and economic benefits of freediving at both individual and community levels.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/36407268/,2022-11-27 11:15:16 PM
Variation in Growth Drives the Duration of Parental Care: A Test of Ydenberg's Model,"Kyle H Elliott, Jannie F Linnebjerg, Chantelle Burke, Anthony J Gaston, Anders Mosbech, Morten Frederiksen, Flemming Merkel, Kyle H Elliott, Jannie F Linnebjerg, Chantelle Burke, Anthony J Gaston, Anders Mosbech, Morten Frederiksen, Flemming Merkel",2017 May,"The duration of parental care in animals varies widely, from none to lifelong. Such variation is typically thought to represent a trade-off between growth and safety. Seabirds show wide variation in the age at which offspring leave the nest, making them ideal to test the idea that a trade-off between high energy gain at sea and high safety at the nest drives variation in departure age (Ydenberg's model). To directly test the model assumptions, we attached time-depth recorders to murre parents (fathers [which do all parental care at sea] and mothers; [Formula: see text] of each). Except for the initial mortality experienced by chicks departing from the colony, the mortality rate at sea was similar to the mortality rate at the colony. However, energy gained by the chick per day was ∼2.1 times as high at sea compared with at the colony because the father spent more time foraging, since he no longer needed to spend time commuting to and from the colony. Compared with the mother, the father spent ∼2.6 times as much time diving per day and dived in lower-quality foraging patches. We provide a simple model for optimal departure date based on only (1) the difference in growth rate at sea relative to the colony and (2) the assumption that transition mortality from one life-history stage to the other is size dependent. Apparently, large variation in the duration of parental care can arise simply as a result of variation in energy gain without any trade-off with safety.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/28410026/,2022-11-27 11:15:17 PM
Hyperbaric oxygen therapy for intensive care patients: position statement by the European Committee for Hyperbaric Medicine,"Daniel Mathieu, Beatrice Ratzenhofer-Komenda, Jacek Kot, Daniel Mathieu, Beatrice Ratzenhofer-Komenda, Jacek Kot",2015 Mar,"Many of the accepted indications for hyperbaric oxygen treatment (HBOT) may occur in critically ill patients. HBOT itself may cause a number of physiological changes which may further compromise the patient's state. Guidelines on the management of critically ill patients in a hyperbaric facility have been founded on the conclusions of the 2007 European Committee for Hyperbaric Medicine (ECHM) meeting. With regard to patient management, HBOT should be included in the overall care of ICU patients only after a risk/benefit assessment related to the specifics of both the hyperbaric centre and the patient's clinical condition and should not delay or interrupt their overall management. Neither patient monitoring nor treatment should be altered or stopped due to HBOT, and any HBOT effects must be strictly evaluated and appropriately mitigated. With regard to the hyperbaric facility itself, the hyperbaric chamber should be specifically designed for ICU patients and should be fully equipped to allow continuation of patient monitoring and treatment. The hyperbaric chamber ideally should be located in, or around the immediate vicinity of the ICU, and be run by a sufficiently large and well-trained team of physicians, nurses, chamber operators and technicians. All devices to be introduced into the chamber should be evaluated, tested and acknowledged as safe for use in a hyperbaric environment and all procedures (standard and emergency) should be tested and written before being implemented.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/25964038/,2022-11-27 11:18:26 PM
Health protection and risks for rescuers in cases of floods,"Nataša Janev Holcer, Pavle Jeličić, Maja Grba Bujević, Damir Važanić, Nataša Janev Holcer, Pavle Jeličić, Maja Grba Bujević, Damir Važanić",2015 Mar,"Floods can pose a number of safety and health hazards for flood-affected populations and rescuers and bring risk of injuries, infections, and diseases due to exposure to pathogenic microorganisms and different biological and chemical contaminants. The risk factors and possible health consequences for the rescuers involved in evacuation and rescuing operations during the May 2014 flood crisis in Croatia are shown, as well as measures for the prevention of injuries and illnesses. In cases of extreme floods, divers play a particularly important role in rescuing and first-response activities. Rescuing in contaminated floodwaters means that the used equipment such as diving suits should be disinfected afterwards. The need for securing the implementation of minimal health and safety measures for involved rescuers is paramount. Data regarding injuries and disease occurrences among rescuers are relatively scarce, indicating the need for medical surveillance systems that would monitor and record all injuries and disease occurrences among rescuers in order to ensure sound epidemiological data. The harmful effects of flooding can be reduced by legislation, improvement of flood forecasting, establishing early warning systems, and appropriate planning and education.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/25741935/,2022-11-27 11:18:26 PM
"Diving in: Using a ""Shark Tank"" approach to teach business skills to future DNP leaders","Gayle Gravlin, Mary Fortunato-Habib, Donna Gemme, Brittany Carney, Karen Dick, Gayle Gravlin, Mary Fortunato-Habib, Donna Gemme, Brittany Carney, Karen Dick",2022 May-Jun,"Doctor of Nursing Practice (DNP) education prepares graduates to lead clinical improvement and innovation across practice settings. Advanced clinical knowledge, leadership skills, and the development of quality/safety competencies uniquely prepare the DNP program graduates to drive organizational change. Adding business and financial competencies to the skill set of DNP graduates strengthens the impact and value of their role on financial, quality, and operational outcomes. The Organizational Systems and Healthcare Financing course in a DNP program was redesigned to engage learners using an innovative approach to teach business and financial principles. This paper aims to (a) describe a novel ""Shark Tank"" approach whereby students develop and ""pitch"" their business proposals to a panel of healthcare executives; (b) share examples of impactful change projects by student teams; (c) report DNP course and program evaluations including students' satisfaction and perceptions of value and knowledge gained in business principles; and (d) report opportunities for bidirectional mentorship, faculty recruitment, and succession planning. The success of this innovative team-based approach for teaching business/financial skills better prepares future DNP leaders and has implications for other DNP programs. Using this teaching strategy created opportunities for faculty recruitment, succession planning, and bidirectional mentorship of DNP-prepared nurse leaders.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/35568461/,2022-11-27 11:18:27 PM
Medical devices and procedures in the hyperbaric chamber,"Jacek Kot, Jacek Kot",2014 Dec,"The aim of this paper is to present current controversies concerning the safety of medical devices and procedures under pressure in a hyperbaric chamber including: defibrillation in a multiplace chamber; implantable devices during hyperbaric oxygen treatment (HBOT) and the results of a recent European questionnaire on medical devices used inside hyperbaric chambers. Early electrical defibrillation is the only effective therapy for cardiac arrest caused by ventricular fibrillation or pulseless ventricular tachycardia. The procedure of defibrillation under hyperbaric conditions is inherently dangerous owing to the risk of fire, but it can be conducted safely if certain precautions are taken. Recently, new defibrillators have been introduced for hyperbaric medicine, which makes the procedure easier technically, but it must be noted that sparks and fire have been observed during defibrillation, even under normobaric conditions. Therefore, delivery of defibrillation shock in a hyperbaric environment must still be perceived as a hazardous procedure. Implantable devices are being seen with increasing frequency in patients referred for HBOT. These devices create a risk of malfunction when exposed to hyperbaric conditions. Some manufacturers support patients and medical practitioners with information on how their devices behave under increased pressure, but in some cases an individual risk-benefit analysis should be conducted on the patient and the specific implanted device, taking into consideration the patient's clinical condition, the indication for HBOT and the capability of the HBOT facility for monitoring and intervention in the chamber. The results of the recent survey on use of medical devices inside European hyperbaric chambers are also presented. A wide range of non-CE-certified equipment is used in European chambers.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/25596835/,2022-11-27 11:18:28 PM
The duration of two carbon dioxide absorbents in a closed-circuit rebreather diving system,"David Harvey, Neal W Pollock, Nicholas Gant, Jason Hart, Peter Mesley, Simon J Mitchell, David Harvey, Neal W Pollock, Nicholas Gant, Jason Hart, Peter Mesley, Simon J Mitchell",2016 Jun,"Introduction:
        
      
      Diving rebreathers use canisters containing sodalime preparations to remove carbon dioxide (CO₂) from the expired gas. These preparations have a limited absorptive capacity and therefore may limit dive duration. The Inspiration™ rebreather is designed for use with Sofnolime 797™ but some divers use Spherasorb™ as an alternative. There are no published data comparing the CO2-absorbing efficacy of these sodalime preparations in an Inspiration rebreather.
    


          Methods:
        
      
      An Inspiration rebreather was operated in a benchtop circuit under conditions simulating work at 6 metabolic equivalents (MET). Ventilation was maintained at 45 L·min⁻¹ (tidal volume 1·5 L; respiratory rate 30 min⁻¹) with CO₂ introduced to the expiratory limb at 2·L·min⁻¹. The PiCO₂ was continuously monitored in the inspiratory limb. The rebreather canister was packed to full volume with either Sofnolime or Spherasorb and 10 trials were conducted (five using each absorbent), in which the circuit was continuously run until the PiCO₂ reached 1 kPa ('breakthrough'). Peak inspiratory and expiratory pressures during tidal ventilation of the circuit were also recorded.
    


          Results:
        
      
      The mean operating duration to CO₂ breakthrough was 138 ± 4 (SD) minutes for 2.38·kg Spherasorb and 202 ± minutes for 2.64·kg Sofnolime (P < 0.0001). The difference between peak inspiratory and expiratory pressures was 10% less during use of Spherasorb, suggesting lower work of breathing.
    


          Conclusions:
        
      
      Under conditions simulating work at 6 MET during use of an Inspiration rebreather a canister packed with Spherasorb reached CO₂ breakthrough 32% earlier with 10% less mass than Sofnolime packed to similar volume. Divers cannot alternate between these two preparations and expect the same endurance.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/27334997/,2022-11-27 11:18:28 PM
"Hyperbaric Treatment Of Compressed Air Workers, Caissons, Tunneling, Bounce Diving, and Saturation Diving","Owen J. ONeill, Anthony Haftel, Heather M. Murphy-Lavoie, Owen J. ONeill, Anthony Haftel, Heather M. Murphy-Lavoie",,"The field of compressed air work (CAW) includes caisson workers, tunnel workers, commercial divers, and inside observers working in multiplace hyperbaric chambers and any environment with increased atmospheric pressure. To summarize, this field includes all workers who perform duties at increased atmospheric pressure. This article will reference all of the workers in these varied environments as compressed air workers (CAWs). CAWs use compressed air during tunneling jobs to prevent flooding by groundwater and/or the entrance of toxic substances such as methane gas. The CAW field has undergone significant change since tunnels and caissons were first constructed in the 1800s. Between that time and the early 1980s, tunnels were primarily excavated by hand by workers exposed to the extremes of increased atmospheric pressure. There was a high incidence of decompression sickness (DCS) among caisson workers (CAWs), commonly referred to as the bends, due to the ""bent over"" bodily posture workers assumed secondary to the pain in the hips and spine caused by DCS. Pile driving has since replaced much of the need for compressed air caisson work. Skilled and well trained commercial divers perform underwater compressed air work. Their risk of decompression sickness and air gas embolism gets mitigated through the use of well designed academic diving education programs and the use of continuously updated decompression tables and modeling. On-site hyperbaric chambers and medical teams are necessary for specific job sites depending on the conditions and depth of the work. Regulations for compressed air work are on the Occupational Safety and Health Administration (OSHA) website under standard number 1926.803-Compressed Air. Despite all attempts to mitigate risk, tunnel CAWs may still suffer the signs and symptoms of DCS and a variety of other typical construction work-related hazards. This paper will discuss CAWs performance in dry hyperbaric environments, particularly those pertaining to tunnel and caisson work, as well as the different methods of compression used to keep them safe and the job productive and cost-effective.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/31194360/,2022-11-27 11:18:29 PM
"Microscopic anatomical, immunohistochemical, and morphometric characterization of the terminal airways of the lung in cetaceans","Cristina Otero-Sabio, Cinzia Centelleghe, Livio Corain, Jean-Marie Graïc, Bruno Cozzi, Miguel Rivero, Francesco Consoli, Antonella Peruffo, Cristina Otero-Sabio, Cinzia Centelleghe, Livio Corain, Jean-Marie Graïc, Bruno Cozzi, Miguel Rivero, Francesco Consoli, Antonella Peruffo",2021 Feb,"The lungs of cetaceans undergo anatomical and physiological adaptations that facilitate extended breath-holding during dives. Here, we present new insights on the ontogeny of the microscopic anatomy of the terminal portion of the airways of the lungs in five cetacean species: the fin whale (Balaenoptera physalus); the sperm whale (Physeter macrocephalus), the Cuvier's beaked whale (Ziphius cavirostris); the bottlenose dolphin (Tursiops truncatus); and the striped dolphin (Stenella coeruleoalba). We (a) studied the histology of the terminal portion of the airways; (b) used immunohistochemistry (IHC) to characterize the muscle fibers with antibodies against smooth muscle (sm-) actin, sm-myosin, and desmin; (c) the innervation of myoelastic sphincters (MESs) with an antibody against neurofilament protein; and (d) defined the diameter of the terminal bronchioles, the diameter and length of the alveoli, the thickness of the septa, the major and minor axis, perimeter and section area of the cartilaginous rings by quantitative morphometric analyses in partially inflated lung tissue. As already reported in the literature, in bottlenose and striped dolphins, a system of MESs was observed in the terminal bronchioles. Immunohistochemistry confirmed the presence of smooth muscle in the terminal bronchioles, alveolar ducts, and alveolar septa in all the examined species. Some neurofilaments were observed close to the MESs in both bottlenose and striped dolphins. In fin, sperm, and Cuvier's beaked whales, we noted a layer of longitudinal smooth muscle going from the terminal bronchioles to the alveolar sacs. The morphometric analysis allowed to quantify the structural differences among cetacean species by ranking them into groups according to the adjusted mean values of the morphometric parameters measured. Our results contribute to the current understanding of the anatomy of the terminal airways of the cetacean lung and the role of the smooth muscle in the alveolar collapse reflex, crucial for prolonged breath-holding diving.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/33338275/,2022-11-27 11:18:30 PM
Effect of hyperbaric oxygen treatment on patients with reduced left ventricular ejection fraction,"Joëlle Vincent, Marie-Kristelle Ross, Neal W Pollock, Joëlle Vincent, Marie-Kristelle Ross, Neal W Pollock",2021 Sep 30,"Introduction:
        
      
      Hyperbaric oxygen treatment (HBOT) is available to a wide spectrum of patients, many with significant co-morbidities. Considering its effects on cardiac physiology and reports of pulmonary oedema following exposure, concerns exist about the safety of patients with compromised cardiac function. Few studies have described adverse events occurring during HBOT and even fewer reports address events arising in the hours following HBOT. A relation between adverse events and cardiac function has not been established. As medical guidance is limited, we aimed to evaluate the risk for patients with reduced left ventricular ejection fraction (LVEF) receiving HBOT.
    


          Methods:
        
      
      This retrospective chart review of patients receiving HBOT from April 2003 through December 2019 at our hospital was designed to describe clinical characteristics of patients and to identify adverse events during HBOT and within 24 hours after HBOT. Patients ≥ 40 years of age with a documented LVEF of ≤ 40% were included. Data are presented as mean (SD) [range] or counts, as appropriate.
    


          Results:
        
      
      A total of 23 patients were included in the final analysis, 2 (1) [0-4] patients per year. Patients received 25 (19) [1-60] treatments. Two patients had an episode of acute decompensated heart failure possibly linked to HBOT.
    


          Conclusions:
        
      
      This study described the clinical characteristics of patients with reduced LVEF receiving HBOT and showed reassuring results, with a majority of patients with reduced LVEF tolerating HBOT well. Prospective research is required to more fully assess the risk.",https://pubmed.ncbi.nlm.nih.gov/,https://pubmed.ncbi.nlm.nih.gov/34547776/,2022-11-27 11:18:30 PM
