afterStem,beforeStem
'24,'24
'acceptable','acceptable'
'air,'air
'all,'all
'always','always'
'ankle','ankle'
'appropriate','appropriate'
'assets','assets'
'bailout','bailout'
'bold','bold'
'borrow,'borrowed
'bounce','bounce'
'breakthrough','breakthrough'
'bubbl,'bubble
'bubblers','bubblers'
'bycatch','bycatch'
'calf','calf'
'caustic,'caustic
'ce','ce'
'census','census'
'chemic,'chemical
'closur,'closure
'cold,'cold
'cold','cold'
'coldwarm','coldwarm'
'commun,'communication
'conserv,'conservative
'conservative','conservative'
'cool','cool'
'decompress,'decompression
'direct','direct'
'dive,'dive
'dive','dive'
'diving','diving'
'documentary','documentary'
'ear','ear'
'early','early'
'enrich,'enriched
'equip,'equipment
'ergometry','ergometry'
'exertion','exertion'
'expert','expert'
'extreme','extreme'
'feature','feature'
'fit,'fitness
'fitness','fitness'
'follow,'follow
'foot,'foot
'frame,'frame
'freediv,'freediving
'gener,'general
'haenyeo,'haenyeo
'hand,'hands
'hazardous','hazardous'
'high,'high
'home','home'
'hookah','hookah'
'hyperbar,'hyperbaric
'hypox,'hypoxic
'inappropriate','inappropriate'
'instructor','instructor'
'kriti','kriti'
'large','large'
'late','late'
'leader,'leader
'lock,'locked
'long,'long
'low,'low
'manta,'manta
'match','match'
'mental,'mental
'mild','mild'
'natural','natural'
'needs','needs'
'non,'non
'normal','normal'
'occasionally','occasionally'
'odd,'odds
'older','older'
'organis,'organisation
'ot,'ots
'overaction','overaction'
'overtension','overtension'
'pain,'pain
'pharmacokinetic','pharmacokinetic'
'polici,'policy
'project,'project
'raters','raters'
'real,'real
'reason','reason'
'rebreather','rebreather'
'rel,'relative
'role,'role
'sea,'sea
'self','self'
'sham','sham'
'silent','silent'
'situat,'situation
'solv,'solve
'sour,'sour
'streamlined','streamlined'
'surfac,'surface
'technic,'technical
'terrain,'terrain
'timid','timid'
'to,'to
'training','training'
'trimix','trimix'
'truth','truth'
'two,'two
'unfit,'unfit
'vacuum,'vacuum
'warm,'warm
'warm','warm'
'yo,'yo
000,000
0001,0001
0002,0002
001,001
0012,0012
001349,001349
0014,0014
0017,0017
0018,0018
002,002
0025,0025
003,003
004,004
0042,0042
005,005
006,006
0064,0064
0069,0069
007,007
0078,0078
008,008
0081,0081
009,009
010,010
013,013
0144,0144
015,015
016,016
017,017
01705,01705
018,018
019,019
021,021
022,022
024,024
025,025
027,027
028,028
029,029
031,031
0315,0315
032,032
033,033
034,034
035,035
036,036
038,038
039,039
040,040
041,041
045,045
046,046
047,047
048,048
050,050
054,054
055,055
056,056
059,059
059case,059cases
060,060
061,061
068,068
069,069
070,070
072,072
07362,07362
077,077
078,078
080,080
081,081
087,087
099,099
0th,0th
0x10,0x10
100,100
