afterStem,beforeStem
'cost','cost'
'eas,'ease
'efficaci,'efficacy
'electr,'electrically
'excellent','excellent'
'good','good'
'heyman','heyman'
'import,'importance
'inspired','inspired'
'intrusiveness','intrusiveness'
'intuit,'intuitive
'no,'no
'opportun,'opportunities
'power,'power
'prescription','prescription'
'privaci,'privacy
'prompt,'prompt
'rememb,'remembering
'run,'run
'silo','silo'
'smart,'smart
'the,'the
'therabracelet','therabracelet'
'time,'time
'turn,'turn
'tv,'tv
'usabl,'usability
'wearabl,'wearability
000,000
0001,0001
0002,0002
0004,0004
00083,00083
001,001
0013,0013
002,002
0028,0028
003,003
004,004
005,005
007,007
0079,0079
008,008
009,009
010,010
014,014
017,017
019,019
0197,0197
020,020
021,021
0225,0225
023,023
024,024
025,025
032,032
036,036
037,037
038,038
039,039
042,042
0435,0435
047,047
048,048
049,049
059,059
062,062
071,071
081,081
083,083
087,087
092,092
096,096
097,097
100,100
1000,1000
1004,1004
100m,100ms
101,101
1011,1011
1012,1012
102,102
103,103
1035,1035
104,104
105,105
106,106
107,107
108,108
109,109
1099,1099
110,110
1107,1107
111,111
1111,1111
112,112
113,113
1136,1136
114,114
11441,11441
115902,115902
116,116
118,118
1192,1192
120,120
121,121
123,123
124,124
125,125
126,126
1278,1278
12782,12782
128,128
129,129
130,130
131,131
1317,1317
132,132
1328,1328
133,133
1337,1337
137,137
138,138
1380,1380
139,139
140,140
1400781,1400781
14049,14049
14051,14051
14054,14054
141,141
143,143
145,145
1452,1452
1454,1454
146,146
148,148
14min,14min
150,150
1500,1500
152,152
154,154
155,155
158,158
15895163,15895163
159,159
15th,15th
160,160
16010242,16010242
161,161
1620,1620
163,163
164,164
1676,1676
168,168
169,169
16964,16964
171,171
173,173
174,174
1744,1744
175,175
17545949,17545949
1798,1798
180,180
182,182
1822,1822
1829,1829
1874,1874
1884,1884
189,189
191,191
192,192
196,196
1rm,1rm
200,200
2000,2000
2004,2004
2007,2007
2008,2008
2009,2009
2010,2010
2011,2011
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2017,2017
2018,2018
2019,2019
2020,2020
2021,2021
2022,2022
2023,2023
2025,2025
2050,2050
206,206
207,207
217,217
21840,21840
219,219
2196,2196
21st,21st
220,220
221,221
2231,2231
224,224
225,225
226,226
230,230
232,232
